Function                      ,Assembly  ,Source,   REF     ,   SSE     ,  SSE2     ,  SSE3     , SSSE3     , SSE4A     ,SSE4_1     ,SSE4_2     ,  SSE5     
ssp_abs_epi16                 ,pabsw     ,SSSE3 ,46,           ,7,           ,1.6,           ,           ,           ,           
ssp_abs_epi32                 ,pabsd     ,SSSE3 ,22.5,           ,7,           ,1.6,           ,           ,           ,           
ssp_abs_epi8                  ,pabsb     ,SSSE3 ,62,           ,7,           ,1.6,           ,           ,           ,           
ssp_add_epi16                 ,paddw,SSE2,,,-1,,,,,,
ssp_add_epi32                 ,paddd,SSE2,,,-1,,,,,,
ssp_add_epi64                 ,paddq,SSE2,,,-1,,,,,,
ssp_add_epi8                  ,paddb,SSE2,,,-1,,,,,,
ssp_add_pd                    ,addpd,SSE2,,,-1,,,,,,
ssp_add_ps                    ,addps,SSE,,-1,,,,,,,
ssp_add_sd                    ,addsd,SSE2,,,-1,,,,,,
ssp_add_si64                  ,paddq,SSE2,,,-1,,,,,,
ssp_add_ss                    ,addss,SSE,,-1,,,,,,,
ssp_adds_epi16                ,paddsw,SSE2,,,-1,,,,,,
ssp_adds_epi8                 ,paddsb,SSE2,,,-1,,,,,,
ssp_adds_epu16                ,paddusw,SSE2,,,-1,,,,,,
ssp_adds_epu8                 ,paddusb,SSE2,,,-1,,,,,,
ssp_addsub_pd                 ,addsubpd  ,SSE3  ,5.8,           ,6,4,           ,           ,           ,           ,           
ssp_addsub_ps                 ,addsubps  ,SSE3  ,16.2,           ,6,4,           ,           ,           ,           ,           
ssp_alignr_epi8               ,palignr   ,SSSE3 ,63,           ,4,           ,3.2,           ,           ,           ,           
ssp_and_pd                    ,amdpd,SSE2,,,-1,,,,,,
ssp_and_ps                    ,andps,SSE,,-1,,,,,,,
ssp_and_si128                 ,pand,SSE2,,,-1,,,,,,
ssp_andnot_pd                 ,amdnpd,SSE2,,,-1,,,,,,
ssp_andnot_ps                 ,andnps,SSE,,-1,,,,,,,
ssp_andnot_si128              ,pandn,SSE2,,,-1,,,,,,
ssp_avg_epu16                 ,pavgw,SSE2,,,-1,,,,,,
ssp_avg_epu8                  ,pavgb,SSE2,,,-1,,,,,,
ssp_avg_pu16                  ,pavgw,SSE,,-1,,,,,,,
ssp_avg_pu8                   ,pavgb,SSE,,-1,,,,,,,
ssp_blend_epi16               ,pblendw   ,SSE4_1,26,           ,6,           ,           ,           ,3.2,           ,           
ssp_blend_pd                  ,blendpd   ,SSE4_1,0.9,           ,8,           ,           ,           ,3.2,           ,           
ssp_blend_ps                  ,blendps   ,SSE4_1,2.4,           ,6,           ,           ,           ,3.2,           ,           
ssp_blendv_epi8               ,pblendvb  ,SSE4_1,36.3,           ,6,           ,           ,           ,4.8,           ,           
ssp_blendv_pd                 ,blendvpd  ,SSE4_1,3.9,           ,8,           ,           ,           ,4.8,           ,           
ssp_blendv_ps                 ,blendvps  ,SSE4_1,6.9,           ,8,           ,           ,           ,4.8,           ,           
ssp_castpd_ps                 ,(comp),SSE2,,,-1,,,,,,
ssp_castpd_si128              ,(comp),SSE2,,,-1,,,,,,
ssp_castps_pd                 ,(comp),SSE2,,,-1,,,,,,
ssp_castps_si128              ,(comp),SSE2,,,-1,,,,,,
ssp_castsi128_pd              ,(comp),SSE2,,,-1,,,,,,
ssp_castsi128_ps              ,(comp),SSE2,,,-1,,,,,,
ssp_ceil_pd                   ,roundpd   ,SSE4_1,75.5,           ,38,           ,           ,           ,4.8,           ,           
ssp_ceil_ps                   ,roundps   ,SSE4_1,173,           ,32,           ,           ,           ,4.8,           ,           
ssp_ceil_sd                   ,roundsd   ,SSE4_1,35,           ,35,           ,           ,           ,4.8,           ,           
ssp_ceil_ss                   ,roundss   ,SSE4_1,50,           ,40,           ,           ,           ,4.8,           ,           
ssp_clflush                   ,clflush,SSE2,,,-1,,,,,,
ssp_cmov_si128                ,pcmov,SSE5,,,,,,,,,-1
ssp_cmpeq_epi16               ,pcmpeqw,SSE2,,,-1,,,,,,
ssp_cmpeq_epi32               ,pcmpeqd,SSE2,,,-1,,,,,,
ssp_cmpeq_epi64               ,pcmpeqq   ,SSE4_1,27.8,           ,6,           ,           ,           ,3.2,           ,           
ssp_cmpeq_epi8                ,pcmpeqb,SSE2,,,-1,,,,,,
ssp_cmpeq_pd                  ,cmpeqpd,SSE2,,,-1,,,,,,
ssp_cmpeq_ps                  ,cmpeqps,SSE,,-1,,,,,,,
ssp_cmpeq_sd                  ,cmpeqsd,SSE2,,,-1,,,,,,
ssp_cmpeq_ss                  ,cmpeqss,SSE,,-1,,,,,,,
ssp_cmpestra                  ,pcmpestri,SSE4_2,,,,,,,,-1,
ssp_cmpestrc                  ,pcmpestr,SSE4_2,,,,,,,,-1,
ssp_cmpestri                  ,pcmpestri,SSE4_2,,,,,,,,-1,
ssp_cmpestrm                  ,pcmpestrm,SSE4_2,,,,,,,,-1,
ssp_cmpestro                  ,pcmpestri,SSE4_2,,,,,,,,-1,
ssp_cmpestrs                  ,pcmpestri,SSE4_2,,,,,,,,-1,
ssp_cmpestrz                  ,pcmpestri,SSE4_2,,,,,,,,-1,
ssp_cmpge_pd                  ,cmplepd,SSE2,,,-1,,,,,,
ssp_cmpge_ps                  ,cmpleps,SSE,,-1,,,,,,
ssp_cmpge_sd                  ,cmplesd,SSE2,,,-1,,,,,
ssp_cmpge_ss                  ,cmpless,SSE,,-1,,,,,,
ssp_cmpgt_epi16               ,pcmpgtw,SSE2,,,-1,,,,,
ssp_cmpgt_epi32               ,pcmpgtd,SSE2,,,-1,,,,,
ssp_cmpgt_epi64               ,pcmpgtq,SSE4_2,,,,,,,,-1
ssp_cmpgt_epi8                ,pcmpgtb,SSE2,,,-1,,,,,
ssp_cmpgt_pd                  ,cmpltpd,SSE2,,,-1,,,,,
ssp_cmpgt_ps                  ,cmpltps,SSE,,-1,,,,,,
ssp_cmpgt_sd                  ,cmpltsd,SSE2,,,-1,,,,,
ssp_cmpgt_ss                  ,cmpltss,SSE,,-1,,,,,,
ssp_cmpistra                  ,pcmpistri,SSE4_2,,,,,,,,-1
ssp_cmpistrc                  ,pcmpistri,SSE4_2,,,,,,,,-1
ssp_cmpistri                  ,pcmpistri,SSE4_2,,,,,,,,-1
ssp_cmpistrm                  ,pcmpistri,SSE4_2,,,,,,,,-1
ssp_cmpistro                  ,pcmpistri,SSE4_2,,,,,,,,-1
